"","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"predR[7,1]",0.0501470687951901,0.0757416895355858,14.6128659742859,-28.5963494105229,0.0282786926686469,28.5453248506639,37222.0960205227,1.00013819402814
"predR[7,2]",0.126094267408659,0.0774587063398979,14.7413833907746,-28.8893290250012,0.102121397789579,29.2138909829389,36218.9623492409,1.00001367671524
"predR[7,3]",0.646736767441631,0.0801213243348345,14.8266697128746,-28.4114577511915,0.696064353436157,29.7762674439747,34244.5124808731,1.00019331322198
"predR[7,4]",2.53682336038988,0.0958570035158512,15.4703724685181,-27.0073154313172,2.31948522832607,33.4828734956438,26046.7680328694,1.0000903095969
"predR[7,5]",17.3091437626584,0.13956251593362,20.1185697335682,-20.1484601581956,16.6965238129332,58.0319887513609,20780.5302621102,1.00024028381225
"predR[7,6]",79.1791276314433,0.119630246541356,17.9471711869832,43.1116590919138,79.6525331477567,112.905441938926,22506.606353835,0.999973401930675
"predR[7,7]",86.2071273269789,0.0942065212752787,15.5721536126624,55.5611686323246,86.2405199410757,116.851645011276,27323.4430477775,0.99991624874872
"predR[7,8]",84.4057171310523,0.0904941667113537,15.3751999316065,54.0723726586216,84.4570579728098,114.584899741065,28866.9149747794,0.999985801577837
"predR[7,9]",81.1384712518213,0.0912091052164855,15.5690630280868,50.3841265917715,81.2046856490165,111.64328067642,29137.2501947522,0.999948175530944
"predR[7,10]",76.4636668196179,0.090042890130111,15.8225510791781,45.3486645746784,76.4985702681299,107.327600688148,30878.355314647,1.00001678837075
"predR[7,11]",70.7118098154669,0.0934293555557582,15.950625354501,38.7146031317728,70.7728154079246,101.671587429922,29146.655145965,0.999967224885616
"predR[8,1]",2.89675963027915,0.0820286166286115,14.887172997029,-26.0872114093592,2.96599100546546,32.1887079607594,32937.7322883141,1.00000122602682
"predR[8,2]",6.62664993334308,0.0937451411811806,15.4199772138041,-23.4597916022191,6.71580539963432,37.1012011427956,27056.3948979906,0.999982105439999
"predR[8,3]",14.1365032202714,0.0998396080867663,16.0234023168394,-17.0438931949112,14.167811767543,45.7992563699948,25757.5018180327,1.00001537406214
"predR[8,4]",26.644813272169,0.105145428299177,16.9116927240491,-6.78733645957206,26.6864836817932,59.9925482649466,25869.8177692665,1.00015044026429
"predR[8,5]",45.1482172513712,0.107333609162943,17.2498229430429,11.0826862515981,45.2009486472221,79.039192648625,25828.4186570975,1.00019304668717
"predR[8,6]",65.4733024818839,0.105166552796306,16.9635986353516,32.2945245068489,65.4414141307184,98.6435787758876,26018.4067890908,1.00004294845074
"predR[8,7]",80.5306436999931,0.0984814462128021,15.8482756157965,49.6706898615813,80.4831517015392,111.619114263953,25897.3421993015,1.00012149881297
"predR[8,8]",85.78307285142,0.0967533130115326,15.7531741352746,54.6905148104193,85.811252582232,116.500884961129,26509.6782961476,0.999960367779095
"predR[8,9]",85.6881544729927,0.0968611347018433,15.8522170148281,54.4199492210962,85.7393761177466,116.375758074409,26784.3377944473,1.00005126754159
"predR[8,10]",83.2133347485675,0.0968302009844839,15.6988809323221,52.5438916564273,83.1090019851796,113.784542277207,26285.468650439,0.999968901969386
"predR[8,11]",79.2785564291151,0.0981341865314704,16.1299107088288,47.3839809729906,79.3801598946618,110.658442408169,27016.1384264186,0.999961817224467
"predR[9,1]",0.607854466245146,0.0779044692711166,14.7249915942961,-28.3498884466541,0.538583562187759,29.3599492597982,35726.0798503485,0.999952164294329
"predR[9,2]",1.82504481470622,0.0784243246673668,14.8825802254464,-27.0256314897243,1.74241913793846,30.9601955330947,36012.6341869354,0.999940470942849
"predR[9,3]",5.53039577589442,0.0929829962598958,15.4787450339114,-24.4995757605634,5.37359570456063,36.0499997519895,27711.7798286952,1.00007055852025
"predR[9,4]",16.2503012518195,0.114963915657272,17.2754418662259,-17.4683292935949,16.1521509371156,50.35328092853,22580.5873400163,1.00004057122207
"predR[9,5]",40.3238651938925,0.119366501760402,18.5947331484451,2.46244770942968,40.6977482268776,76.0018835566576,24266.9372879652,1.00000719206093
"predR[9,6]",74.6671005499523,0.111716267990811,17.245152970257,40.7587496773121,74.7292389521371,108.345631474896,23828.75015888,1.00008461986008
"predR[9,7]",91.0233028650341,0.0885956289343,15.5664745202641,60.1663007642589,91.052247580346,121.325486169181,30871.3725814612,1.00010634299627
