subj,,cb,trialNum,phase,x,group,y
2104,diff,1,2,2,3,similarity,0
2104,diff,1,3,2,4,similarity,99.80207165
2104,diff,1,4,2,11,similarity,48.25493171
2104,diff,1,5,2,1,similarity,0
2104,diff,1,6,2,10,similarity,48.8685096
2104,diff,1,7,2,7,similarity,49.57445405
2104,diff,1,8,2,9,similarity,48.67717886
2104,diff,1,9,2,6,similarity,48.41987201
2104,diff,1,10,2,8,similarity,48.6441908
2104,diff,1,11,2,5,similarity,48.70356931
2110,diff,2,1,2,2,similarity,17.62877736
2110,diff,2,2,2,7,similarity,59.44587714
2110,diff,2,3,2,8,similarity,59.53845137
2110,diff,2,4,2,9,similarity,59.08880513
2110,diff,2,5,2,5,similarity,8.946637572
2110,diff,2,6,2,3,similarity,18.17761026
2110,diff,2,7,2,4,similarity,8.496991338
2110,diff,2,8,2,10,similarity,48.75355419
2110,diff,2,9,2,11,similarity,49.40157376
2110,diff,2,10,2,6,similarity,8.496991338
2110,diff,2,11,2,1,similarity,49.1106262
2112,diff,1,1,2,5,similarity,0
2112,diff,1,2,2,10,similarity,0.099219473
2112,diff,1,3,2,8,similarity,0.132292631
2112,diff,1,4,2,7,similarity,100
2112,diff,1,5,2,2,similarity,0
2112,diff,1,6,2,1,similarity,0.066146316
2112,diff,1,7,2,6,similarity,100
2112,diff,1,8,2,4,similarity,0.099219473
2112,diff,1,9,2,9,similarity,0
2112,diff,1,10,2,3,similarity,0.165365789
2112,diff,1,11,2,11,similarity,0.066146316
2114,diff,2,1,2,11,similarity,49.28321332
2114,diff,2,2,2,10,similarity,48.35172095
2114,diff,2,3,2,4,similarity,0
2114,diff,2,4,2,6,similarity,80.56418048
2114,diff,2,5,2,3,similarity,0.05945696
2114,diff,2,6,2,7,similarity,74.16925415
2114,diff,2,7,2,5,similarity,0.05945696
2114,diff,2,8,2,2,similarity,48.83398296
2114,diff,2,9,2,8,similarity,49.54746647
2114,diff,2,10,2,9,similarity,49.57389179
2114,diff,2,11,2,1,similarity,49.02556649
2116,diff,1,1,2,3,similarity,0.033062223
2116,diff,1,2,2,7,similarity,100
2116,diff,1,3,2,6,similarity,70.91846856
2116,diff,1,4,2,2,similarity,0.099186669
2116,diff,1,5,2,1,similarity,0
2116,diff,1,6,2,9,similarity,0.099186669
2116,diff,1,7,2,10,similarity,9.495470475
2116,diff,1,8,2,11,similarity,37.68432189
2116,diff,1,9,2,5,similarity,91.98571712
2116,diff,1,10,2,8,similarity,48.30390795
2116,diff,1,11,2,4,similarity,27.54083185
2122,diff,2,1,2,7,similarity,91.07690257
2122,diff,2,2,2,9,similarity,43.735839
2122,diff,2,3,2,1,similarity,29.58150073
2122,diff,2,4,2,4,similarity,0
2122,diff,2,5,2,6,similarity,51.93256031
2122,diff,2,6,2,8,similarity,46.04158337
