exp,freq_var,group,subj,x,trial,y
3,variable,fixed,6,5,9,0
3,variable,fixed,6,5,10,0
3,variable,fixed,6,5,11,0
3,variable,fixed,6,5,12,0
3,variable,fixed,6,6,1,1
3,variable,fixed,6,6,2,1
3,variable,fixed,6,6,3,1
3,variable,fixed,6,6,4,1
3,variable,fixed,6,6,5,1
3,variable,fixed,6,6,6,1
3,variable,fixed,6,6,7,0
3,variable,fixed,6,6,8,0
3,variable,fixed,6,6,9,0
3,variable,fixed,6,6,10,0
3,variable,fixed,6,6,11,0
3,variable,fixed,6,6,12,0
3,variable,fixed,7,0,1,0
3,variable,fixed,7,0,2,1
3,variable,fixed,7,0,3,1
3,variable,fixed,7,0,4,1
3,variable,fixed,7,0,5,1
3,variable,fixed,7,0,6,1
3,variable,fixed,7,0,7,1
3,variable,fixed,7,0,8,1
3,variable,fixed,7,0,9,1
3,variable,fixed,7,0,10,1
3,variable,fixed,7,0,11,1
3,variable,fixed,7,0,12,1
3,variable,fixed,7,1,1,1
3,variable,fixed,7,1,2,1
3,variable,fixed,7,1,3,1
3,variable,fixed,7,1,4,1
3,variable,fixed,7,1,5,1
3,variable,fixed,7,1,6,1
3,variable,fixed,7,1,7,1
3,variable,fixed,7,1,8,1
3,variable,fixed,7,1,9,1
3,variable,fixed,7,1,10,1
3,variable,fixed,7,1,11,1
3,variable,fixed,7,1,12,1
3,variable,fixed,7,2,1,1
3,variable,fixed,7,2,2,1
3,variable,fixed,7,2,3,1
3,variable,fixed,7,2,4,1
3,variable,fixed,7,2,5,1
3,variable,fixed,7,2,6,1
3,variable,fixed,7,2,7,0
3,variable,fixed,7,2,8,1
3,variable,fixed,7,2,9,1
3,variable,fixed,7,2,10,1
3,variable,fixed,7,2,11,1
3,variable,fixed,7,2,12,1
3,variable,fixed,7,3,1,1
3,variable,fixed,7,3,2,1
3,variable,fixed,7,3,3,1
3,variable,fixed,7,3,4,1
3,variable,fixed,7,3,5,1
3,variable,fixed,7,3,6,1
3,variable,fixed,7,3,7,1
3,variable,fixed,7,3,8,1
3,variable,fixed,7,3,9,0
3,variable,fixed,7,3,10,1
3,variable,fixed,7,3,11,1
3,variable,fixed,7,3,12,1
3,variable,fixed,7,4,1,1
3,variable,fixed,7,4,2,1
3,variable,fixed,7,4,3,1
3,variable,fixed,7,4,4,1
3,variable,fixed,7,4,5,1
3,variable,fixed,7,4,6,1
3,variable,fixed,7,4,7,1
3,variable,fixed,7,4,8,0
3,variable,fixed,7,4,9,1
3,variable,fixed,7,4,10,1
3,variable,fixed,7,4,11,1
3,variable,fixed,7,4,12,1
3,variable,fixed,7,5,1,1
3,variable,fixed,7,5,2,1
3,variable,fixed,7,5,3,1
3,variable,fixed,7,5,4,1
3,variable,fixed,7,5,5,1
3,variable,fixed,7,5,6,1
3,variable,fixed,7,5,7,1
3,variable,fixed,7,5,8,1
3,variable,fixed,7,5,9,1
3,variable,fixed,7,5,10,1
3,variable,fixed,7,5,11,1
3,variable,fixed,7,5,12,1
3,variable,fixed,7,6,1,1
3,variable,fixed,7,6,2,0
3,variable,fixed,7,6,3,0
3,variable,fixed,7,6,4,0
3,variable,fixed,7,6,5,0
3,variable,fixed,7,6,6,0
3,variable,fixed,7,6,7,0
3,variable,fixed,7,6,8,1
3,variable,fixed,7,6,9,1
3,variable,fixed,7,6,10,1
3,variable,fixed,7,6,11,1
3,variable,fixed,7,6,12,1
3,variable,fixed,8,0,1,0
3,variable,fixed,8,0,2,1
3,variable,fixed,8,0,3,0
3,variable,fixed,8,0,4,1
3,variable,fixed,8,0,5,1
3,variable,fixed,8,0,6,1
3,variable,fixed,8,0,7,1
3,variable,fixed,8,0,8,1
3,variable,fixed,8,0,9,1
3,variable,fixed,8,0,10,1
3,variable,fixed,8,0,11,0
3,variable,fixed,8,0,12,0
3,variable,fixed,8,1,1,1
3,variable,fixed,8,1,2,1
3,variable,fixed,8,1,3,1
3,variable,fixed,8,1,4,1
3,variable,fixed,8,1,5,1
3,variable,fixed,8,1,6,1
3,variable,fixed,8,1,7,1
3,variable,fixed,8,1,8,1
3,variable,fixed,8,1,9,1
3,variable,fixed,8,1,10,0
3,variable,fixed,8,1,11,1
3,variable,fixed,8,1,12,1
3,variable,fixed,8,2,1,1
3,variable,fixed,8,2,2,1
3,variable,fixed,8,2,3,1
3,variable,fixed,8,2,4,1
3,variable,fixed,8,2,5,1
3,variable,fixed,8,2,6,1
3,variable,fixed,8,2,7,0
3,variable,fixed,8,2,8,1
3,variable,fixed,8,2,9,0
3,variable,fixed,8,2,10,0
3,variable,fixed,8,2,11,1
3,variable,fixed,8,2,12,1
3,variable,fixed,8,3,1,1
3,variable,fixed,8,3,2,1
3,variable,fixed,8,3,3,1
3,variable,fixed,8,3,4,1
3,variable,fixed,8,3,5,1
3,variable,fixed,8,3,6,1
3,variable,fixed,8,3,7,0
3,variable,fixed,8,3,8,1
3,variable,fixed,8,3,9,0
3,variable,fixed,8,3,10,0
3,variable,fixed,8,3,11,0
3,variable,fixed,8,3,12,1
3,variable,fixed,8,4,1,0
3,variable,fixed,8,4,2,1
3,variable,fixed,8,4,3,1
3,variable,fixed,8,4,4,1
3,variable,fixed,8,4,5,1
3,variable,fixed,8,4,6,1
3,variable,fixed,8,4,7,0
3,variable,fixed,8,4,8,0
3,variable,fixed,8,4,9,0
3,variable,fixed,8,4,10,0
3,variable,fixed,8,4,11,0
3,variable,fixed,8,4,12,0
3,variable,fixed,8,5,1,0
3,variable,fixed,8,5,2,1
3,variable,fixed,8,5,3,1
3,variable,fixed,8,5,4,1
3,variable,fixed,8,5,5,1
3,variable,fixed,8,5,6,1
3,variable,fixed,8,5,7,0
3,variable,fixed,8,5,8,0
3,variable,fixed,8,5,9,0
3,variable,fixed,8,5,10,0
3,variable,fixed,8,5,11,0
3,variable,fixed,8,5,12,0
3,variable,fixed,8,6,1,0
3,variable,fixed,8,6,2,1
3,variable,fixed,8,6,3,1
3,variable,fixed,8,6,4,1
3,variable,fixed,8,6,5,1
3,variable,fixed,8,6,6,1
3,variable,fixed,8,6,7,0
3,variable,fixed,8,6,8,0
3,variable,fixed,8,6,9,0
3,variable,fixed,8,6,10,0
3,variable,fixed,8,6,11,0
3,variable,fixed,8,6,12,0
3,variable,fixed,9,0,1,1
3,variable,fixed,9,0,2,1
3,variable,fixed,9,0,3,1
3,variable,fixed,9,0,4,1
3,variable,fixed,9,0,5,1
3,variable,fixed,9,0,6,1
3,variable,fixed,9,0,7,0
3,variable,fixed,9,0,8,1
3,variable,fixed,9,0,9,0
3,variable,fixed,9,0,10,1
3,variable,fixed,9,0,11,1
3,variable,fixed,9,0,12,1
